keys;ru;en;tr
ui.error.lobbies.already_joined.message;Вы уже состоите в лобби;You are already in a lobby;Zaten bir lobidesiniz
ui.error.lobbies.factory_required.message;Не указан тип создаваемого лобби;A lobby type is required;Lobi türü gerekli
ui.error.lobbies.factory_not_found.message;Указанный тип лобби не найден;The specified lobby type was not found;Belirtilen lobi türü bulunamadı
ui.error.lobbies.creation_failed.message;Не удалось создать лобби;The lobby could not be created;Lobi oluşturulamadı
ui.error.lobbies.not_found.message;Лобби не найдено;The lobby was not found;Lobi bulunamadı
ui.error.lobbies.join_failed.message;Не удалось войти в лобби;Could not join the lobby;Lobiye katılınamadı
ui.error.lobbies.username_invalid.message;Имя пользователя в лобби недействительно;The lobby username is invalid;Lobi kullanıcı adı geçersiz
ui.error.lobbies.member_already_exists.message;Пользователь уже состоит в лобби;The user is already a lobby member;Kullanıcı zaten lobi üyesi
ui.error.lobbies.destroyed.message;Лобби больше недоступно;The lobby is no longer available;Lobi artık kullanılamıyor
ui.error.lobbies.join_forbidden.message;Вход в это лобби запрещён;Joining this lobby is not allowed;Bu lobiye katılmaya izin verilmiyor
ui.error.lobbies.full.message;В лобби нет свободных мест;The lobby is full;Lobi dolu
ui.error.lobbies.game_in_progress.message;Игра в этом лобби уже началась;The game in this lobby is already in progress;Bu lobideki oyun zaten başladı
ui.error.lobbies.team_not_found.message;Команда не найдена;The team was not found;Takım bulunamadı
ui.error.lobbies.team_join_forbidden.message;Вступление в эту команду запрещено;Joining this team is not allowed;Bu takıma katılmaya izin verilmiyor
ui.error.lobbies.property_rejected.message;Лобби отклонило изменение настройки;The lobby rejected the setting change;Lobi ayar değişikliğini reddetti
ui.error.lobbies.member_property_rejected.message;Лобби отклонило изменение данных участника;The lobby rejected the member data change;Lobi üye verisi değişikliğini reddetti
ui.error.lobbies.not_joined.message;Вы не состоите в лобби;You are not a member of a lobby;Bir lobinin üyesi değilsiniz
ui.error.lobbies.member_not_found.message;Участник лобби не найден;The lobby member was not found;Lobi üyesi bulunamadı
ui.error.lobbies.game_start_failed.message;Не удалось запустить игру в лобби;The lobby game could not be started;Lobi oyunu başlatılamadı
ui.error.lobbies.game_not_running.message;Игра в лобби не запущена;The lobby game is not running;Lobi oyunu çalışmıyor
;;;
# Spawner errors;;;
ui.error.spawners.module_stopping.message;Сервис запуска комнат останавливается;The room spawning service is stopping;Oda başlatma hizmeti durduruluyor
ui.error.spawners.not_registered.message;Сервер запуска комнат не зарегистрирован;The room spawner is not registered;Oda başlatıcısı kayıtlı değil
ui.error.spawners.capacity_unavailable.message;Нет свободных ресурсов для запуска комнаты;No capacity is available to start a room;Oda başlatmak için kullanılabilir kapasite yok
ui.error.spawners.spawn_permission_denied.message;Недостаточно прав для запуска комнаты;You do not have permission to start a room;Oda başlatmak için izniniz yok
ui.error.spawners.requester_disconnected.message;Запрос запуска отменён из-за отключения;The spawn request was cancelled because the requester disconnected;Başlatma isteği, istekte bulunan bağlantıyı kestiği için iptal edildi
ui.error.spawners.request_already_active.message;Запрос запуска уже выполняется;A spawn request is already in progress;Başlatma isteği zaten devam ediyor
ui.error.spawners.request_not_found.message;Запрос запуска не найден;The spawn request was not found;Başlatma isteği bulunamadı
ui.error.spawners.request_already_completed.message;Запрос запуска уже завершён;The spawn request has already completed;Başlatma isteği zaten tamamlandı
ui.error.spawners.request_owner_required.message;Этот запрос запуска принадлежит другому подключению;This spawn request belongs to another connection;Bu başlatma isteği başka bir bağlantıya ait
ui.error.spawners.finalization_unavailable.message;Не удалось завершить запуск комнаты;The room spawn could not be finalized;Oda başlatma işlemi tamamlanamadı
ui.error.spawners.registration_permission_denied.message;Недостаточно прав для регистрации сервера запуска комнат;You do not have permission to register a room spawner;Oda başlatıcısı kaydetmek için izniniz yok
ui.error.spawners.registration_disconnected.message;Регистрация сервера запуска комнат прервана из-за отключения;Room spawner registration was interrupted by a disconnection;Oda başlatıcısı kaydı bağlantı kesildiği için yarıda kaldı
ui.error.spawners.registration_rejected.message;Сервер запуска комнат отклонил регистрацию;The room spawner registration was rejected;Oda başlatıcısı kaydı reddedildi
ui.error.spawners.registration_not_found.message;Регистрация сервера запуска комнат не найдена;The room spawner registration was not found;Oda başlatıcısı kaydı bulunamadı
ui.error.spawners.registration_owner_required.message;Регистрация сервера запуска принадлежит другому подключению;The room spawner registration belongs to another connection;Oda başlatıcısı kaydı başka bir bağlantıya ait
ui.error.spawners.process_permission_denied.message;Недостаточно прав для управления запущенной комнатой;You do not have permission to manage the spawned room;Başlatılan odayı yönetmek için izniniz yok
ui.error.spawners.task_not_found.message;Задача запуска комнаты не найдена;The room spawn task was not found;Oda başlatma görevi bulunamadı
ui.error.spawners.code_invalid.message;Код запуска комнаты недействителен;The room spawn code is invalid;Oda başlatma kodu geçersiz
ui.error.spawners.task_already_registered.message;Задача запуска комнаты уже зарегистрирована;The room spawn task is already registered;Oda başlatma görevi zaten kayıtlı
ui.error.spawners.task_owner_required.message;Задача запуска комнаты принадлежит другому подключению;The room spawn task belongs to another connection;Oda başlatma görevi başka bir bağlantıya ait
ui.error.spawners.task_already_completed.message;Задача запуска комнаты уже завершена;The room spawn task has already completed;Oda başlatma görevi zaten tamamlandı
ui.error.spawners.controller_not_found.message;Контроллер сервера запуска не найден;The spawner controller was not found;Başlatıcı denetleyicisi bulunamadı
ui.error.spawners.process_start_failed.message;Не удалось запустить процесс комнаты;The room process could not be started;Oda işlemi başlatılamadı
ui.error.spawners.process_not_found.message;Процесс комнаты не найден;The room process was not found;Oda işlemi bulunamadı
ui.error.spawners.process_kill_failed.message;Не удалось остановить процесс комнаты;The room process could not be stopped;Oda işlemi durdurulamadı
;;;
# Matchmaker errors;;;
ui.error.matchmaker.regions_disabled.message;Подбор игры по регионам отключён;Regional matchmaking is disabled;Bölgesel eşleştirme devre dışı
ui.error.matchmaker.regions_unavailable.message;Список регионов для подбора игры недоступен;The matchmaking region list is unavailable;Eşleştirme bölgesi listesi kullanılamıyor
;;;
# Other module errors;;;
ui.error.world_rooms.zone_not_found.message;Игровая зона не найдена;The game zone was not found;Oyun bölgesi bulunamadı
ui.error.quests.update_forbidden.message;Изменение заданий запрещено;Updating quests is not allowed;Görevlerin güncellenmesine izin verilmiyor
ui.error.analytics.unavailable.message;Сервис аналитики временно недоступен;The analytics service is temporarily unavailable;Analiz hizmeti geçici olarak kullanılamıyor
ui.error.remote_config.request_failed.message;Не удалось загрузить удалённую конфигурацию;The remote configuration could not be loaded;Uzak yapılandırma yüklenemedi
ui.error.remote_config.response_invalid.message;Сервер вернул некорректную удалённую конфигурацию;The server returned an invalid remote configuration;Sunucu geçersiz bir uzak yapılandırma döndürdü
ui.view.signUp.title;Регистрация;Registration;Kayıt
ui.view.signUp.btn.submit;Создать аккаунт;Create account;Hesap oluştur
ui.view.signUp.btn.signIn;Уже есть аккаунт? Войти;Already have an account? Sign in;Zaten hesabınız var mı? Giriş yapın
;;;
# Authentication form;;;
ui.view.auth.placeholder.username;Введите логин;Enter username;Kullanıcı adınızı girin
ui.view.auth.placeholder.email;Введите адрес электронной почты;Enter email address;E-posta adresinizi girin
ui.view.auth.placeholder.password;Введите пароль;Enter password;Şifrenizi girin
ui.view.auth.placeholder.confirmPassword;Повторите пароль;Confirm password;Şifrenizi tekrar girin
ui.validation.auth.required;Заполните это поле;This field is required;Bu alan zorunludur
ui.validation.auth.invalidEmail;Введите корректный адрес электронной почты;Enter a valid email address;Geçerli bir e-posta adresi girin
ui.validation.auth.passwordMismatch;Пароли не совпадают;Passwords do not match;Şifreler eşleşmiyor
ui.validation.auth.usernameLength;Логин должен содержать от {0} до {1} символов;Username must contain between {0} and {1} characters;Kullanıcı adı {0} ile {1} karakter arasında olmalıdır
ui.validation.auth.passwordMinLength;Пароль должен содержать не менее {0} символов;Password must contain at least {0} characters;Şifre en az {0} karakter içermelidir
;;;
# Account confirmation;;;
ui.loading.accountConfirmation.message;Подтверждение учетной записи… Пожалуйста, подождите.;Account confirmation... Please wait.;Hesap onayı... Lütfen bekleyin.
ui.notification.accountConfirmation.error.message;Во время подтверждения учетной записи возникла ошибка:;An error occurred while confirming your account:;Hesabınız onaylanırken bir hata oluştu:
ui.loading.accountConfirmation.sendCode.message;Отправляем код подтверждения… Пожалуйста, подождите.;We are sending a verification code... Please wait.;Doğrulama kodu gönderiyoruz... Lütfen bekleyin.
ui.notification.accountConfirmation.sendCode.success.message;Код подтверждения был отправлен на указанный вами адрес электронной почты;A verification code has been sent to the email address you provided.;Verdiğiniz e-posta adresine bir doğrulama kodu gönderildi.
ui.notification.accountConfirmation.sendCode.error.message;Во время отправки кода подтверждения возникла ошибка:;An error occurred while sending the verification code:;Doğrulama kodu gönderilirken bir hata oluştu:
ui.notification.accountConfirmation.success.message;Адрес электронной почты успешно подтвержден;The e-mail address has been confirmed successfully;E-posta adresi başarıyla doğrulandı
ui.view.accountConfirmation.title;Подтверждение электронной почты;E-mail confirmation;E-posta doğrulama
ui.view.accountConfirmation.btn.submit;Подтвердить;Confirm;Doğrula
ui.view.accountConfirmation.btn.sendCode;Отправить код;Send code;Kod gönder
ui.view.accountConfirmation.btn.sendCodeCooldown;Повторная отправка через: {0};Resend in: {0};Tekrar gönderme: {0}
;;;
# Account extra properties;;;
ui.notification.account.extraPropertiesSave.success.message;Экстра свойства учетной записи были успешно сохранены;Extra account properties were successfully saved;Ekstra hesap özellikleri başarıyla kaydedildi
ui.notification.account.extraPropertiesSave.error.message;Невозможно сохранить свойства учетной записи;Unable to save account properties;Hesap özellikleri kaydedilemiyor
;;;
# Password reset;;;
ui.loading.passwordChange.message;Смена пароля… Пожалуйста, подождите;Changing password... Please wait;Şifre değiştiriliyor... Lütfen bekleyin
ui.notification.passwordChange.success.message;Вы успешно изменили свой пароль. Теперь вы можете войти в свою учетную запись;You have successfully changed your password. You can now log in to your account.;Şifrenizi başarıyla değiştirdiniz. Artık hesabınıza giriş yapabilirsiniz
ui.notification.passwordChange.error.message;Во время смены пароля возникла ошибка:;An error occurred while changing the password:;Şifre değiştirilirken bir hata oluştu:
ui.loading.passwordReset.sendCode.message;Отправляем код сброса пароля… Пожалуйста, подождите;We are sending a password reset code... Please wait;Şifre sıfırlama kodu gönderiyoruz... Lütfen bekleyin
ui.notification.passwordReset.sendCode.success.message;Код сброса пароля был отправлен на указанный вами адрес электронной почты;A password reset code has been sent to the email address you provided.;Belirttiğiniz e-posta adresine şifre sıfırlama kodu gönderildi.
ui.notification.passwordReset.sendCode.error.message;Во время отправки кода сброса пароля возникла ошибка:;An error occurred while sending the password reset code:;Şifre sıfırlama kodu gönderilirken bir hata oluştu:
ui.notification.passwordReset.emailMissing.message;Сначала запросите код сброса пароля для адреса электронной почты;Request a password reset code for the e-mail address first;Önce e-posta adresi için şifre sıfırlama kodu isteyin
ui.view.passwordResetRequest.title;Восстановление пароля;Password recovery;Şifre kurtarma
ui.view.passwordResetRequest.btn.sendCode;Отправить код;Send code;Kod gönder
ui.view.passwordResetRequest.btn.sendCodeCooldown;Повторная отправка через: {0};Resend in: {0};Tekrar gönderme: {0}
ui.view.passwordReset.title;Новый пароль;New password;Yeni şifre
ui.view.passwordReset.btn.submit;Изменить пароль;Change password;Şifreyi değiştir
ui.view.passwordReset.btn.sendCode;Отправить код;Send code;Kod gönder
ui.view.passwordReset.btn.sendCodeCooldown;Повторная отправка через: {0};Resend in: {0};Tekrar gönderme: {0}
ui.view.auth.placeholder.confirmationCode;Введите код подтверждения;Enter confirmation code;Doğrulama kodunu girin
;;;
# Game Bridge;;;
ui.loading.gameService.message;Ожидаем готовность игрового сервиса;Waiting for game service;Oyun hizmetini bekliyorum
;;;
# Profile;;;
ui.loading.profile.message;Загрузка данных игрока... Пожалуйста подождите;Loading player profile... Please wait;Oyuncu profili yükleniyor... Lütfen bekleyin
;;;
# Storages;;;
trashStorage;Мусорные пакеты;Trash bags;Çöp poşetleri
